from,to,relation,film,time
Affleck,Aniston,coacting,hesjustnotthatintoyou,2009
Affleck,Barrymore,coacting,hesjustnotthatintoyou,2009
Affleck,Barrymore,actedinprod,hesjustnotthatintoyou,2009
Affleck,Kunis,coacting,extract,2009
Affleck,Affleck,directed,thetown,2010
Affleck,Affleck,actedindirect,thetown,2010
Affleck,Affleck,written,thetown,2010
Affleck,Affleck,actedinwritten,thetown,2010
Affleck,Affleck,writtendirected,thetown,2010
Affleck,Affleck,directedwritten,thetown,2010
Affleck,Affleck,produced,argo,2012
Affleck,Affleck,directed,argo,2012
Affleck,Affleck,actedindirect,argo,2012
Affleck,Affleck,actedinprod,argo,2012
Affleck,Affleck,directedprod,argo,2012
Affleck,Affleck,proddirected,argo,2012
Affleck,Perry,coacting,gonegirl,2014
Affleck,Cavill,coacting,batmanvsupermandawnofjustice,2016
Affleck,Affleck,directed,livebynight,2016
Affleck,Affleck,produced,livebynight,2016
Affleck,Affleck,written,livebynight,2016
Affleck,Affleck,actedindirect,livebynight,2016
Affleck,Affleck,actedinprod,livebynight,2016
Affleck,Affleck,actedinwritten,livebynight,2016
Affleck,Affleck,prodwritten,livebynight,2016
Affleck,Affleck,writtenprod,livebynight,2016
Affleck,Affleck,proddirected,livebynight,2016
Affleck,Affleck,directedprod,livebynight,2016
Affleck,Affleck,prodwritten,livebynight,2016
Affleck,Affleck,writtenprod,livebynight,2016
Affleck,Affleck,produced,justiceleague,2017
Affleck,Affleck,actedinprod,justiceleague,2017
Affleck,Cavill,produced,justiceleague,2017
Affleck,Cavill,coacting,justiceleague,2017
Aniston,Affleck,coacting,hesjustnotthatintoyou,2009
Aniston,Barrymore,coacting,hesjustnotthatintoyou,2009
Aniston,Barrymore,actedinprod,hesjustnotthatintoyou,2009
Aniston,Butler,coacting,thebountyhunter,2010
Aniston,Aniston,produced,theswitch,2010
Aniston,Aniston,actedinprod,theswitch,2010
Aniston,Sandler,actedinprod,justgowithit,2011
Aniston,Sandler,coacting,justgowithit,2011
Aniston,Swardson,coacting,justgowithit,2011
Aniston,Aniston,produced,lifeofcrime,2013
Aniston,Aniston,actedinprod,lifeofcrime,2013
Aniston,Aniston,produced,cake,2014
Aniston,Aniston,actedinprod,cake,2014
Aniston,Roberts,coacting,mothersday,2016
Aniston,Aniston,produced,theyellowbirds,2017
Aniston,Aniston,actedinprod,theyellowbirds,2017
Barrymore,Affleck,coacting,hesjustnotthatintoyou,2009
Barrymore,Affleck,produced,hesjustnotthatintoyou,2009
Barrymore,Aniston,coacting,hesjustnotthatintoyou,2009
Barrymore,Aniston,produced,hesjustnotthatintoyou,2009
Barrymore,Barrymore,produced,hesjustnotthatintoyou,2009
Barrymore,Barrymore,actedinprod,hesjustnotthatintoyou,2009
Barrymore,Barrymore,directed,whipit,2009
Barrymore,Barrymore,produced,whipit,2009
