id,label,name,sex,year,age,skincolour,placeofbirth,nomtot,WME,CAA,TheArtistsPartnership,APA,Troika,UTA,ICMPartners,TheGershAgency,MagnaTalentAgency,IndependentTalentGroup,HyperionTalentAgency,ChambersManagement,InternationalArtistsManagement,CurtisBrownGroup,LindaMcAlisterTalent,LinstenManagement,MarkhamFroggatandIrwin,nota,nom9,nom10,nom11,nom12,nom13,nom14,nom15,nom16,nom17,win9,win10,win11,win12,win13,win14,win15,win16,win17
Affleck,BA,Ben Affleck,2,72,46,white,berkeleycalifornia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
Aniston,JA,Jennifer Aniston,1,69,49,white,shermanoakscalifornia,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Barrymore,DB,Drew Barrymore,1,75,43,white,culvercitycalifornia,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Berry,HB,Halle Berry,1,66,52,afroamerican,clevelandohio ,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Black,JB,Jack Black,2,69,49,white,santamonicacalifornia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brand,RB,Russell Brand,2,75,43,white,graysuk,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bullock,SB,Sandra Bullock,1,64,54,white,arlingtoncountyvirginia,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
Butler,GB,Gerard Butler,2,69,49,white,paisleyuk,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
Cage,NC,Nicolas Cage,2,64,54,white,longbeachcalifornia,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Cameron,KCN,Kirk Cameron,2,70,48,white,panoramacitycalifornia,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
